name,file_path,label,verb_in_name,template,is_inherited,constructors,total_methods,nonpublic_methods,static_methods,biggest_method_size,total_fields,nonpublic_fields,fields_class_refs,getters,setters,CG_edges,CG_no_entrance_vertexes,CG_no_out_vertexes,CG_comp_num,CG_strong_comp_num
VariantMatcher,/home/peterterry/LLVM_Clang/llvm/tools/clang/include/clang/ASTMatchers/Dynamic/VariantValue.h,0.0,0.0,0.0,0.0,2.0,17.0,0.0,3.0,5.0,2.0,1.0,2.0,10.0,0.0,0.0,14.0,14.0,14.0,14.0
RegisterClassInfo,/home/peterterry/LLVM_Clang/llvm/include/llvm/CodeGen/RegisterClassInfo.h,0.0,1.0,0.0,0.0,1.0,11.0,0.2727272727272727,0.0,179.0,14.0,0.5714285714285714,3.0,8.0,0.0,8.0,4.0,8.0,8.0,9.0
Expr,/home/peterterry/LLVM_Clang/llvm/tools/clang/include/clang/AST/Expr.h,0.0,0.0,0.0,1.0,2.0,101.0,0.009900990099009901,7.0,448.0,7.0,0.42857142857142855,2.0,52.0,7.0,62.0,48.0,65.0,66.0,97.0
ExpressionParser,/home/peterterry/LLVM_Clang/llvm/tools/clang/lib/Format/TokenAnnotator.cpp,1.0,0.0,0.0,0.0,1.0,6.0,0.8333333333333334,0.0,256.0,3.0,1.0,3.0,1.0,1.0,13.0,3.0,0.0,1.0,4.0
StackMapV2Parser,/home/peterterry/LLVM_Clang/llvm/include/llvm/Object/StackMapParser.h,0.0,1.0,0.0,0.0,1.0,55.0,0.18181818181818182,1.0,28.0,9.0,1.0,0.0,28.0,0.0,12.0,47.0,44.0,44.0,54.0
Preprocessor,/home/peterterry/LLVM_Clang/llvm/tools/clang/include/clang/Lex/Preprocessor.h,1.0,0.0,0.0,0.0,1.0,253.0,0.24110671936758893,2.0,741.0,160.0,0.8375,91.0,84.0,29.0,277.0,149.0,137.0,138.0,251.0
LiveInterval,/home/peterterry/LLVM_Clang/llvm/include/llvm/CodeGen/LiveInterval.h,0.0,1.0,0.0,1.0,1.0,29.0,0.06896551724137931,0.0,42.0,6.0,0.3333333333333333,2.0,3.0,0.0,3.0,24.0,25.0,25.0,27.0
ObjCInterfaceDecl,/home/peterterry/LLVM_Clang/llvm/tools/clang/include/clang/AST/DeclObjC.h,0.0,0.0,0.0,1.0,1.0,110.0,0.12727272727272726,8.0,109.0,15.0,0.26666666666666666,10.0,36.0,10.0,115.0,60.0,82.0,84.0,109.0
LazyBlockFrequencyInfoPass,/home/peterterry/LLVM_Clang/llvm/include/llvm/Analysis/LazyBlockFrequencyInfo.h,0.0,1.0,0.0,1.0,1.0,11.0,0.0,1.0,16.0,6.0,1.0,5.0,6.0,1.0,0.0,10.0,10.0,10.0,10.0
Generic_GCC,/home/peterterry/LLVM_Clang/llvm/tools/clang/lib/Driver/ToolChains.h,0.0,1.0,0.0,1.0,1.0,43.0,0.20930232558139536,2.0,48.0,31.0,0.7741935483870968,9.0,24.0,1.0,0.0,40.0,40.0,40.0,40.0
TransformActions,/home/peterterry/LLVM_Clang/llvm/tools/clang/lib/ARCMigrate/Internals.h,0.0,1.0,0.0,0.0,1.0,27.0,0.0,0.0,24.0,3.0,1.0,2.0,3.0,0.0,0.0,26.0,26.0,26.0,26.0
AllocatorBase,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/Allocator.h,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
AsmParser,/home/peterterry/LLVM_Clang/llvm/lib/MC/MCParser/AsmParser.cpp,1.0,0.0,0.0,1.0,2.0,141.0,0.8085106382978723,1.0,1508.0,30.0,0.8666666666666667,12.0,10.0,5.0,308.0,42.0,26.0,26.0,136.0
MatcherGen,/home/peterterry/LLVM_Clang/llvm/utils/TableGen/DAGISelMatcherGen.cpp,1.0,0.0,0.0,0.0,1.0,16.0,0.8125,0.0,389.0,11.0,1.0,7.0,3.0,1.0,13.0,10.0,5.0,5.0,15.0
LazyEmittingLayer,/home/peterterry/LLVM_Clang/llvm/include/llvm/ExecutionEngine/Orc/LazyEmittingLayer.h,0.0,1.0,0.0,0.0,1.0,15.0,0.4,1.0,120.0,8.0,1.0,0.0,0.0,2.0,0.0,13.0,13.0,13.0,13.0
AMDGPUCFGStructurizer,/home/peterterry/LLVM_Clang/llvm/lib/Target/AMDGPU/AMDILCFGStructurizer.cpp,1.0,1.0,0.0,1.0,1.0,66.0,0.9242424242424242,17.0,286.0,10.0,1.0,7.0,21.0,2.0,63.0,40.0,26.0,26.0,64.0
ImmutableMap,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/ImmutableMap.h,0.0,1.0,0.0,0.0,2.0,28.0,0.03571428571428571,1.0,32.0,5.0,0.6,0.0,9.0,1.0,0.0,27.0,27.0,27.0,27.0
MipsAnalyzeImmediate,/home/peterterry/LLVM_Clang/llvm/lib/Target/Mips/MipsAnalyzeImmediate.h,0.0,1.0,0.0,0.0,0.0,8.0,0.875,0.0,80.0,8.0,0.75,0.0,5.0,1.0,9.0,4.0,4.0,4.0,6.0
FoldingSetNodeID,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/FoldingSet.h,0.0,1.0,0.0,0.0,2.0,20.0,0.0,0.0,324.0,1.0,1.0,0.0,0.0,11.0,9.0,12.0,15.0,15.0,20.0
CGDebugInfo,/home/peterterry/LLVM_Clang/llvm/tools/clang/lib/CodeGen/CGDebugInfo.h,1.0,1.0,0.0,0.0,1.0,115.0,0.7391304347826086,0.0,880.0,75.0,0.96,57.0,33.0,4.0,72.0,63.0,85.0,85.0,113.0
CodeGenFunction,/home/peterterry/LLVM_Clang/llvm/tools/clang/lib/CodeGen/CodeGenFunction.h,1.0,1.0,0.0,1.0,2.0,675.0,0.05037037037037037,26.0,8054.0,150.0,0.64,111.0,87.0,11.0,1028.0,338.0,379.0,379.0,671.0
OnDiskIterableChainedHashTable,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/OnDiskHashTable.h,0.0,1.0,0.0,1.0,1.0,16.0,0.0,1.0,56.0,6.0,1.0,0.0,2.0,0.0,4.0,13.0,11.0,11.0,15.0
MatchASTVisitor,/home/peterterry/LLVM_Clang/llvm/tools/clang/lib/ASTMatchers/ASTMatchFinder.cpp,0.0,1.0,0.0,1.0,1.0,39.0,0.38461538461538464,0.0,64.0,10.0,1.0,6.0,2.0,2.0,5.0,34.0,35.0,35.0,38.0
CodeGenModule,/home/peterterry/LLVM_Clang/llvm/tools/clang/lib/CodeGen/CodeGenModule.h,1.0,1.0,0.0,1.0,2.0,224.0,0.20535714285714285,1.0,964.0,84.0,0.9166666666666666,37.0,98.0,31.0,205.0,127.0,139.0,139.0,221.0
ContinuousRangeMap,/home/peterterry/LLVM_Clang/llvm/tools/clang/include/clang/Serialization/ContinuousRangeMap.h,0.0,1.0,0.0,0.0,0.0,16.0,0.0625,0.0,45.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0
VersionPrinter,/home/peterterry/LLVM_Clang/llvm/lib/Support/CommandLine.cpp,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0
FastISel,/home/peterterry/LLVM_Clang/llvm/include/llvm/CodeGen/FastISel.h,1.0,1.0,0.0,0.0,1.0,84.0,0.6785714285714286,0.0,490.0,55.0,0.3090909090909091,27.0,7.0,10.0,89.0,46.0,46.0,46.0,82.0
FoldingSetBucketIterator,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/FoldingSet.h,0.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0
ASTContext,/home/peterterry/LLVM_Clang/llvm/tools/clang/include/clang/AST/ASTContext.h,1.0,0.0,0.0,0.0,2.0,413.0,0.0387409200968523,3.0,2703.0,228.0,0.543859649122807,99.0,291.0,39.0,230.0,274.0,299.0,311.0,407.0
TemplateDiff,/home/peterterry/LLVM_Clang/llvm/tools/clang/lib/AST/ASTDiagnostic.cpp,0.0,0.0,0.0,0.0,1.0,75.0,0.4,9.0,278.0,37.0,0.43243243243243246,20.0,23.0,12.0,46.0,53.0,52.0,52.0,71.0
DAGTypeLegalizer,/home/peterterry/LLVM_Clang/llvm/lib/CodeGen/SelectionDAG/LegalizeTypes.h,1.0,1.0,0.0,0.0,1.0,425.0,0.9929411764705882,0.0,963.0,13.0,1.0,4.0,18.0,8.0,846.0,100.0,52.0,55.0,423.0
ReportGraph,/home/peterterry/LLVM_Clang/llvm/tools/clang/lib/StaticAnalyzer/Core/BugReporter.cpp,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CGOpenMPRuntime,/home/peterterry/LLVM_Clang/llvm/tools/clang/lib/CodeGen/CGOpenMPRuntime.h,1.0,1.0,0.0,0.0,1.0,92.0,0.2826086956521739,2.0,2105.0,47.0,0.7021276595744681,35.0,22.0,2.0,79.0,50.0,70.0,70.0,91.0
FoldingSetImpl,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/FoldingSet.h,0.0,1.0,0.0,0.0,2.0,19.0,0.3684210526315789,0.0,112.0,4.0,1.0,0.0,3.0,1.0,9.0,14.0,13.0,13.0,17.0
MacroDirective,/home/peterterry/LLVM_Clang/llvm/tools/clang/include/clang/Lex/MacroInfo.h,0.0,0.0,0.0,0.0,1.0,27.0,0.0,1.0,119.0,8.0,1.0,4.0,22.0,2.0,7.0,18.0,19.0,20.0,24.0
PointerRecord,/home/peterterry/LLVM_Clang/llvm/include/llvm/DebugInfo/CodeView/TypeRecord.h,0.0,1.0,0.0,1.0,3.0,23.0,0.0,1.0,43.0,8.0,0.0,3.0,21.0,0.0,0.0,18.0,18.0,18.0,18.0
Sema,/home/peterterry/LLVM_Clang/llvm/tools/clang/include/clang/Sema/Sema.h,1.0,0.0,0.0,0.0,2.0,1669.0,0.04973037747153984,32.0,1606.0,283.0,0.30742049469964666,158.0,207.0,55.0,1687.0,922.0,1062.0,1064.0,1657.0
FoldingSet,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/FoldingSet.h,0.0,1.0,0.0,1.0,2.0,12.0,0.25,0.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,12.0,12.0,12.0
CodeGenTypes,/home/peterterry/LLVM_Clang/llvm/tools/clang/lib/CodeGen/CodeGenTypes.h,0.0,1.0,0.0,0.0,1.0,51.0,0.0196078431372549,0.0,676.0,16.0,1.0,10.0,17.0,1.0,35.0,34.0,32.0,32.0,48.0
StringMap,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/StringMap.h,0.0,1.0,0.0,1.0,7.0,19.0,0.0,0.0,84.0,1.0,1.0,0.0,2.0,0.0,1.0,18.0,18.0,18.0,19.0
PathDiagnosticBuilder,/home/peterterry/LLVM_Clang/llvm/tools/clang/lib/StaticAnalyzer/Core/BugReporter.cpp,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,104.0,4.0,0.75,4.0,7.0,0.0,3.0,7.0,8.0,8.0,10.0
ConstantOffsetExtractor,/home/peterterry/LLVM_Clang/llvm/lib/Transforms/Scalar/SeparateConstOffsetFromGEP.cpp,1.0,1.0,0.0,0.0,1.0,9.0,0.7777777777777778,2.0,152.0,5.0,1.0,5.0,0.0,0.0,7.0,5.0,3.0,6.0,8.0
AlignedCharArray,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/AlignOf.h,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ExeDepsFix,/home/peterterry/LLVM_Clang/llvm/lib/CodeGen/ExecutionDepsFix.cpp,0.0,1.0,0.0,1.0,1.0,23.0,0.8260869565217391,0.0,218.0,15.0,1.0,9.0,3.0,1.0,20.0,12.0,14.0,14.0,21.0
Interpreter,/home/peterterry/LLVM_Clang/llvm/lib/ExecutionEngine/Interpreter/Interpreter.h,0.0,0.0,0.0,1.0,1.0,71.0,0.29577464788732394,2.0,867.0,4.0,1.0,2.0,5.0,1.0,53.0,34.0,52.0,52.0,58.0
Parser,/home/peterterry/LLVM_Clang/llvm/tools/clang/include/clang/ASTMatchers/Dynamic/Parser.h,1.0,0.0,0.0,0.0,1.0,21.0,0.2857142857142857,7.0,375.0,6.0,1.0,3.0,5.0,2.0,8.0,11.0,10.0,10.0,15.0
RegBankSelect,/home/peterterry/LLVM_Clang/llvm/include/llvm/CodeGen/GlobalISel/RegBankSelect.h,1.0,1.0,0.0,1.0,1.0,64.0,0.34375,1.0,23.0,25.0,1.0,13.0,24.0,6.0,0.0,48.0,48.0,48.0,48.0
MachineFunctionPass,/home/peterterry/LLVM_Clang/llvm/include/llvm/CodeGen/MachineFunctionPass.h,1.0,1.0,0.0,1.0,1.0,8.0,0.875,0.0,40.0,3.0,1.0,3.0,4.0,0.0,4.0,6.0,4.0,4.0,8.0
InstructionSelect,/home/peterterry/LLVM_Clang/llvm/include/llvm/CodeGen/GlobalISel/InstructionSelect.h,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,23.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,5.0,5.0
InstructionSelector,/home/peterterry/LLVM_Clang/llvm/include/llvm/CodeGen/GlobalISel/InstructionSelector.h,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
Path,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/IntervalMap.h,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,59.0,4.0,0.25,1.0,2.0,2.0,11.0,19.0,19.0,19.0,25.0
LexicalScopes,/home/peterterry/LLVM_Clang/llvm/include/llvm/CodeGen/LexicalScopes.h,0.0,0.0,0.0,0.0,1.0,20.0,0.35,0.0,41.0,6.0,1.0,3.0,8.0,0.0,10.0,13.0,12.0,12.0,18.0
FixupLEAPass,/home/peterterry/LLVM_Clang/llvm/lib/Target/X86/X86FixupLEAs.cpp,1.0,1.0,0.0,1.0,1.0,11.0,0.8181818181818182,0.0,211.0,4.0,1.0,2.0,2.0,0.0,8.0,7.0,4.0,4.0,10.0
ImmutableListFactory,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/ImmutableList.h,0.0,1.0,0.0,0.0,2.0,6.0,0.3333333333333333,0.0,49.0,2.0,1.0,0.0,2.0,1.0,3.0,3.0,3.0,3.0,6.0
FoldingSetIteratorImpl,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/FoldingSet.h,0.0,1.0,0.0,0.0,1.0,3.0,0.3333333333333333,0.0,69.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0
DefaultContextualFoldingSetTrait,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/FoldingSet.h,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0
ASTWriter,/home/peterterry/LLVM_Clang/llvm/tools/clang/include/clang/Serialization/ASTWriter.h,1.0,0.0,0.0,1.0,1.0,126.0,0.5238095238095238,0.0,3699.0,86.0,0.872093023255814,13.0,46.0,11.0,35.0,114.0,92.0,92.0,125.0
ASTRecordWriter,/home/peterterry/LLVM_Clang/llvm/tools/clang/include/clang/Serialization/ASTWriter.h,0.0,1.0,0.0,0.0,3.0,49.0,0.061224489795918366,0.0,131.0,4.0,1.0,3.0,1.0,37.0,41.0,29.0,27.0,27.0,48.0
StoreManager,/home/peterterry/LLVM_Clang/llvm/tools/clang/include/clang/StaticAnalyzer/Core/PathSensitive/Store.h,0.0,1.0,0.0,0.0,1.0,34.0,0.08823529411764706,0.0,359.0,7.0,1.0,5.0,12.0,0.0,3.0,30.0,30.0,30.0,33.0
AnnotatingParser,/home/peterterry/LLVM_Clang/llvm/tools/clang/lib/Format/TokenAnnotator.cpp,1.0,0.0,0.0,0.0,1.0,23.0,0.9565217391304348,0.0,686.0,22.0,0.3181818181818182,9.0,2.0,0.0,43.0,9.0,1.0,2.0,16.0
InitListChecker,/home/peterterry/LLVM_Clang/llvm/tools/clang/lib/Sema/SemaInit.cpp,1.0,1.0,0.0,0.0,1.0,23.0,0.9130434782608695,1.0,1269.0,6.0,1.0,2.0,2.0,0.0,37.0,10.0,5.0,6.0,15.0
ProvenanceAnalysis,/home/peterterry/LLVM_Clang/llvm/lib/Transforms/ObjCARC/ProvenanceAnalysis.h,0.0,0.0,0.0,0.0,2.0,8.0,0.5,0.0,159.0,2.0,1.0,0.0,1.0,1.0,5.0,4.0,4.0,5.0,5.0
TypePrinting,/home/peterterry/LLVM_Clang/llvm/lib/IR/AsmWriter.cpp,1.0,1.0,0.0,0.0,2.0,4.0,0.25,0.0,434.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,3.0,3.0
AAResults,/home/peterterry/LLVM_Clang/llvm/include/llvm/Analysis/AliasAnalysis.h,0.0,0.0,0.0,0.0,2.0,55.0,0.0,4.0,358.0,2.0,1.0,1.0,35.0,1.0,70.0,13.0,28.0,28.0,55.0
