name,file_path,label,verb_in_name,template,is_inherited,constructors,total_methods,nonpublic_methods,static_methods,biggest_method_size,total_fields,nonpublic_fields,fields_class_refs,getters,setters,CG_edges,CG_no_entrance_vertexes,CG_no_out_vertexes,CG_comp_num,CG_strong_comp_num
DwarfLinker,/home/peterterry/LLVM_Clang/llvm/tools/dsymutil/DwarfLinker.cpp,0.0,1.0,0.0,0.0,1.0,38.0,0.6842105263157895,0.0,595.0,42.0,0.6904761904761905,12.0,4.0,0.0,14.0,27.0,30.0,31.0,37.0
SpecificBumpPtrAllocator,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/Allocator.h,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,48.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0
SetTheory,/home/peterterry/LLVM_Clang/llvm/include/llvm/TableGen/SetTheory.h,0.0,1.0,0.0,0.0,1.0,10.0,0.2,0.0,17.0,3.0,1.0,0.0,0.0,3.0,0.0,9.0,9.0,9.0,9.0
MacOSKeychainAPIChecker,/home/peterterry/LLVM_Clang/llvm/tools/clang/lib/StaticAnalyzer/Checkers/MacOSKeychainAPIChecker.cpp,0.0,1.0,0.0,1.0,0.0,15.0,0.5333333333333333,1.0,461.0,8.0,0.25,0.0,2.0,0.0,5.0,10.0,12.0,12.0,14.0
StringMapIterator,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/StringMap.h,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
Stmt,/home/peterterry/LLVM_Clang/llvm/tools/clang/include/clang/AST/Stmt.h,0.0,0.0,0.0,0.0,2.0,34.0,0.058823529411764705,8.0,79.0,60.0,0.75,15.0,5.0,1.0,6.0,27.0,29.0,29.0,33.0
StringMapEntry,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/StringMap.h,0.0,1.0,0.0,1.0,2.0,13.0,0.0,4.0,78.0,1.0,0.0,0.0,5.0,1.0,2.0,11.0,12.0,12.0,13.0
NodeMapClosure,/home/peterterry/LLVM_Clang/llvm/tools/clang/lib/StaticAnalyzer/Core/BugReporter.cpp,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
ZeroOutInDeallocRemover,/home/peterterry/LLVM_Clang/llvm/tools/clang/lib/ARCMigrate/TransZeroOutPropsInDealloc.cpp,0.0,1.0,0.0,0.0,1.0,12.0,0.4166666666666667,0.0,82.0,5.0,1.0,3.0,5.0,0.0,5.0,9.0,8.0,9.0,10.0
ThreadLocal,/home/peterterry/LLVM_Clang/llvm/utils/unittest/googletest/include/gtest/internal/gtest-port.h,0.0,1.0,0.0,0.0,3.0,9.0,0.4444444444444444,1.0,41.0,3.0,1.0,0.0,2.0,1.0,2.0,6.0,7.0,7.0,8.0
PostIncTransform,/home/peterterry/LLVM_Clang/llvm/lib/Analysis/ScalarEvolutionNormalization.cpp,1.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,409.0,5.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0
MicrosoftMangleContext,/home/peterterry/LLVM_Clang/llvm/tools/clang/include/clang/AST/Mangle.h,0.0,1.0,0.0,1.0,1.0,14.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0
MicrosoftMangleContextImpl,/home/peterterry/LLVM_Clang/llvm/tools/clang/lib/AST/MicrosoftMangle.cpp,0.0,1.0,0.0,1.0,1.0,32.0,0.03125,0.0,364.0,5.0,1.0,0.0,2.0,0.0,2.0,30.0,31.0,31.0,32.0
MicrosoftCXXNameMangler,/home/peterterry/LLVM_Clang/llvm/tools/clang/lib/AST/MicrosoftMangle.cpp,1.0,1.0,0.0,0.0,3.0,76.0,0.8157894736842105,0.0,790.0,8.0,1.0,3.0,2.0,0.0,81.0,44.0,43.0,43.0,74.0
IdentifierResolver,/home/peterterry/LLVM_Clang/llvm/tools/clang/include/clang/Sema/IdentifierResolver.h,0.0,0.0,0.0,0.0,1.0,25.0,0.16,3.0,146.0,5.0,0.8,3.0,6.0,2.0,14.0,19.0,17.0,17.0,23.0
MachineTraceMetrics,/home/peterterry/LLVM_Clang/llvm/include/llvm/CodeGen/MachineTraceMetrics.h,0.0,1.0,0.0,1.0,1.0,46.0,0.34782608695652173,0.0,53.0,32.0,0.5,15.0,25.0,1.0,0.0,43.0,43.0,43.0,43.0
LazyCallGraph,/home/peterterry/LLVM_Clang/llvm/include/llvm/Analysis/LazyCallGraph.h,0.0,1.0,0.0,0.0,2.0,91.0,0.25274725274725274,2.0,93.0,31.0,1.0,17.0,17.0,2.0,9.0,76.0,75.0,75.0,83.0
CallGraph,/home/peterterry/LLVM_Clang/llvm/include/llvm/Analysis/CallGraph.h,0.0,1.0,0.0,0.0,2.0,15.0,0.13333333333333333,0.0,54.0,5.0,1.0,3.0,4.0,1.0,2.0,13.0,13.0,13.0,15.0
CallGraphNode,/home/peterterry/LLVM_Clang/llvm/include/llvm/Analysis/CallGraph.h,0.0,1.0,0.0,0.0,2.0,23.0,0.17391304347826086,0.0,46.0,3.0,1.0,1.0,2.0,2.0,7.0,17.0,18.0,18.0,23.0
integer_sequence,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/STLExtras.h,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
StringMapImpl,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/StringMap.h,0.0,1.0,0.0,0.0,3.0,12.0,0.5,1.0,302.0,5.0,1.0,1.0,3.0,0.0,6.0,8.0,9.0,9.0,12.0
TargetLoweringBase,/home/peterterry/LLVM_Clang/llvm/include/llvm/Target/TargetLowering.h,1.0,1.0,0.0,0.0,2.0,213.0,0.19248826291079812,1.0,1057.0,62.0,0.7903225806451613,9.0,137.0,36.0,56.0,176.0,187.0,187.0,211.0
ScaledNumber,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/ScaledNumber.h,0.0,1.0,0.0,1.0,3.0,48.0,0.16666666666666666,11.0,77.0,2.0,1.0,0.0,14.0,0.0,30.0,27.0,35.0,35.0,47.0
X86DAGToDAGISel,/home/peterterry/LLVM_Clang/llvm/lib/Target/X86/X86ISelDAGToDAG.cpp,1.0,1.0,0.0,1.0,1.0,34.0,0.7941176470588235,0.0,2664.0,3.0,1.0,1.0,8.0,0.0,23.0,18.0,20.0,20.0,33.0
ItaniumRTTIBuilder,/home/peterterry/LLVM_Clang/llvm/tools/clang/lib/CodeGen/ItaniumCXXABI.cpp,1.0,0.0,0.0,0.0,1.0,9.0,0.8888888888888888,0.0,486.0,4.0,1.0,4.0,2.0,0.0,8.0,4.0,4.0,4.0,8.0
CXXNameMangler,/home/peterterry/LLVM_Clang/llvm/tools/clang/lib/AST/ItaniumMangle.cpp,1.0,1.0,0.0,0.0,5.0,130.0,0.8076923076923077,2.0,643.0,16.0,1.0,8.0,8.0,5.0,192.0,57.0,30.0,30.0,93.0
BranchFolder,/home/peterterry/LLVM_Clang/llvm/lib/CodeGen/BranchFolding.h,0.0,1.0,0.0,0.0,1.0,31.0,0.45161290322580644,0.0,747.0,22.0,1.0,11.0,8.0,5.0,10.0,21.0,19.0,19.0,28.0
RecurrenceDescriptor,/home/peterterry/LLVM_Clang/llvm/include/llvm/Transforms/Utils/LoopUtils.h,0.0,0.0,0.0,0.0,2.0,29.0,0.0,15.0,247.0,12.0,1.0,7.0,26.0,1.0,4.0,24.0,24.0,24.0,27.0
ContextualFoldingSet,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/FoldingSet.h,0.0,1.0,0.0,1.0,1.0,12.0,0.25,0.0,19.0,1.0,1.0,0.0,3.0,0.0,0.0,12.0,12.0,12.0,12.0
CompileOnDemandLayer,/home/peterterry/LLVM_Clang/llvm/include/llvm/ExecutionEngine/Orc/CompileOnDemandLayer.h,0.0,1.0,0.0,0.0,1.0,21.0,0.2857142857142857,1.0,172.0,18.0,0.5,1.0,4.0,3.0,2.0,18.0,19.0,19.0,20.0
DWARFDebugLine,/home/peterterry/LLVM_Clang/llvm/include/llvm/DebugInfo/DWARF/DWARFDebugLine.h,0.0,1.0,0.0,0.0,1.0,31.0,0.03225806451612903,2.0,32.0,43.0,0.046511627906976744,4.0,9.0,0.0,0.0,28.0,28.0,28.0,28.0
RPC,/home/peterterry/LLVM_Clang/llvm/include/llvm/ExecutionEngine/Orc/RPCUtils.h,0.0,0.0,0.0,1.0,2.0,26.0,0.07692307692307693,5.0,72.0,6.0,1.0,2.0,1.0,0.0,5.0,20.0,21.0,21.0,24.0
DIEHash,/home/peterterry/LLVM_Clang/llvm/lib/CodeGen/AsmPrinter/DIEHash.h,1.0,1.0,0.0,0.0,1.0,18.0,0.7222222222222222,0.0,687.0,52.0,0.057692307692307696,51.0,0.0,5.0,23.0,8.0,5.0,5.0,14.0
LiveIntervalUnion,/home/peterterry/LLVM_Clang/llvm/include/llvm/CodeGen/LiveIntervalUnion.h,0.0,1.0,0.0,0.0,1.0,29.0,0.034482758620689655,0.0,54.0,14.0,1.0,5.0,3.0,0.0,3.0,25.0,24.0,24.0,27.0
FileBufferByteStream,/home/peterterry/LLVM_Clang/llvm/include/llvm/DebugInfo/MSF/ByteStream.h,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,10.0,2.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,5.0,5.0
UnwrappedLineParser,/home/peterterry/LLVM_Clang/llvm/tools/clang/lib/Format/UnwrappedLineParser.h,1.0,1.0,0.0,0.0,1.0,53.0,0.9811320754716981,0.0,997.0,18.0,1.0,10.0,2.0,1.0,194.0,11.0,3.0,3.0,29.0
ProgramStateTrait,/home/peterterry/LLVM_Clang/llvm/tools/clang/include/clang/StaticAnalyzer/Core/PathSensitive/ProgramState.h,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
MicrosoftCXXABI,/home/peterterry/LLVM_Clang/llvm/tools/clang/lib/CodeGen/MicrosoftCXXABI.cpp,0.0,0.0,0.0,1.0,1.0,114.0,0.12280701754385964,0.0,344.0,17.0,0.8823529411764706,7.0,49.0,3.0,65.0,68.0,75.0,75.0,113.0
CursorVisitor,/home/peterterry/LLVM_Clang/llvm/tools/clang/tools/libclang/CursorVisitor.h,1.0,0.0,0.0,0.0,1.0,111.0,0.02702702702702703,0.0,355.0,20.0,1.0,6.0,3.0,0.0,52.0,76.0,95.0,95.0,110.0
