name,file_path,label,verb_in_name,template,is_inherited,constructors,total_methods,nonpublic_methods,static_methods,biggest_method_size,total_fields,nonpublic_fields,fields_class_refs,getters,setters,CG_edges,CG_no_entrance_vertexes,CG_no_out_vertexes,CG_comp_num,CG_strong_comp_num
AllocatorBase,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/Allocator.h,-1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
PointerLikeTypeTraits,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/PointerLikeTypeTraits.h,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
greater_ptr,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/STLExtras.h,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
rank,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/STLExtras.h,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Optional,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/Optional.h,-1.0,0.0,0.0,0.0,6.0,20.0,0.0,1.0,22.0,2.0,1.0,0.0,8.0,0.0,5.0,15.0,18.0,18.0,20.0
index_sequence_for,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/STLExtras.h,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enumerator_impl,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/STLExtras.h,-1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,15.0,5.0,0.6,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0
zip_first,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/STLExtras.h,-1.0,0.0,0.0,0.0,1.0,5.0,0.4,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0
filter_iterator,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/STLExtras.h,-1.0,1.0,0.0,0.0,2.0,2.0,0.5,0.0,6.0,3.0,0.3333333333333333,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0
MallocAllocator,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/Allocator.h,-1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0
BumpPtrAllocatorImpl,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/Allocator.h,-1.0,1.0,0.0,1.0,2.0,13.0,0.3076923076923077,1.0,64.0,6.0,1.0,0.0,3.0,0.0,3.0,10.0,11.0,11.0,13.0
add_lvalue_reference_if_not_pointer,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/type_traits.h,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isPodLike,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/type_traits.h,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StringMapIterator,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/StringMap.h,-1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
AlignedCharArrayUnion,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/AlignOf.h,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MemoryBlock,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/Memory.h,-1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
integer_sequence,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/STLExtras.h,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
FoldingSetNodeWrapper,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/FoldingSet.h,-1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,1.0,0.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0
DefaultContextualFoldingSetTrait,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/FoldingSet.h,-1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0
AlignerImpl,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/AlignOf.h,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DefaultFoldingSetTrait,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/FoldingSet.h,-1.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0
SmallVectorStorage,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/SmallVector.h,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_rbegin,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/STLExtras.h,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_hashable_data,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/Hashing.h,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FoldingSetBucketIteratorImpl,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/FoldingSet.h,-1.0,1.0,0.0,0.0,2.0,3.0,0.3333333333333333,0.0,26.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0
StringMapEntryBase,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/StringMap.h,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
pair_hash,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/STLExtras.h,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
FoldingSetIterator,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/FoldingSet.h,-1.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0
